Esto es una prueba para verificar nuestro programa:

- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
- casa - perro - cemento - gato
